Name,ACT Median,SAT Average,Average Cost,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,Average Family Income,Median Family Income,Admission Rate
Abilene Christian University,24,1087,39811,20698.5,26237.5,9500,86392,75873.5,0.4894
Adams State University,20,939,17759,11000,0,11000,45711.23,34243,0.526
Adelphi University,22,1098,41559,21325,25000,13000,74831.68,54115,0.6814
Adrian College,22,1007,40199,14250,27000,7655,77959.35,71008.5,0.5628
Adventist University of Health Sciences,19,884,21358,15236,20730,9788,58585.71,49657.5,0.1336
AIB College of Business,0,0,22469,13125,20500,7125,56250.95,53783,0.6887
Alabama A & M University,17,823,18888,19500,33611.5,14250,40211.22,29039,0.8989
Alabama State University,17,830,17400,15854.5,33452,12500,31846.99,24029.5,0.5125
Albany College of Pharmacy and Health Sciences,27,1195,40718,24930.5,25000,15000,87171.28,80225,0.634
Albany State University,19,887,19025,24500,31750,17250,40236.45,29794,0.1992
Albertus Magnus College,0,830,41520,26313,29000,19392,61019.77,50062.5,0.6821
Albion College,25,1143,45690,22500,27000,12000,95788.54,85027.5,0.5639
Albright College,23,1033,46170,24562.5,28910,12500,75540.42,66577.5,0.6231
Alcorn State University,18,851,20330,19696.5,27940.5,17485,30021.21,21250,0.8291
Alderson Broaddus University,22,989,33057,9500,29000,5500,55945.87,48013,0.4321
Alfred University,25,1106,38830,21500,27000,6500,78026.36,69334,0.698
Allegheny College,26,1182,50044,27000,28800,8750,95883.88,85933,0.6487
Alma College,25,1100,43157,21500,27000,11000,86192.91,74312,0.6791
Alvernia University,20,976,39999,22500,27000,11000,64848.34,53135,0.7762
Alverno College,20,950,30496,25500,33110,15250,52454.06,38705,0.7887
American International College,19,885,40803,20726,27000,9500,60826.01,49259,0.6779
American University,28,1258,55159,19500,23500,9250,105560.77,86431,0.4312
Amherst College,32,1434,59060,10453,11185.5,7500,107166.93,85922,0.1428
Anderson University,23,1053,37937,23000,27999,12000,78026.29,72723,0.5545
Anderson University,24,1079,35340,19500,27000,9624.5,68927.17,58707.5,0.6502
Andrews University,23,1070,33653,23000,29500,15250,60803.03,53737,0.3751
Angelo State University,21,965,19511,11773,21594,8250,53847.09,43559,0.8049
Anna Maria College,0,0,42770,18125,26000,9500,73629.92,67437,0.7756
Appalachian State University,26,1156,17780,15635,19526,9500,78640.38,69100,0.6323
Aquinas College,24,1090,34593,19474,25000,15000,76310.3,72085,0.7135
Arcadia University,25,1095,48907,22000,27000,10875,83924.41,76319,0.5969
Arizona State University-Downtown Phoenix,24,1085,22909,16250,20375,11000,0,0,0.757
Arizona State University-Polytechnic,24,1106,21256,16250,20375,11000,63334.02,43477,0.7479
